method,RCP,scenario,year,AEF,CEF
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2031,0.00036728667462584914,0.0005651590532839622
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2032,0.0003283857425160252,0.0005064239842402296
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2033,0.0003001036919475738,0.00046117164375555843
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2034,0.0002790508559525762,0.0004254869729968924
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2035,0.00026318116988092045,0.0003968581363259167
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2036,0.0002164247633073431,0.0003685948658159173
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2037,0.00014819797887244377,0.00033874706026463977
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2038,0.00016393249036256356,0.0003178961433562748
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2039,0.00018000680303583214,0.0003032020896197761
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2040,0.00019533316944638472,0.00029281411968817004
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2041,0.0002066900161896889,0.0002852487710921229
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2042,0.00021518755143327321,0.0002795913834360541
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2043,0.0002202706555635558,0.00027515917891571604
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2044,0.0002217778659971748,0.00027144802575712455
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2045,0.00021994069417774793,0.0002680999203166769
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2046,0.00021561938713541258,0.0002648967672983483
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2047,0.00020927415362869786,0.0002616971274213359
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2048,0.0002017677129802335,0.0002584372634635628
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2049,0.0001939514245669097,0.00025511051140478784
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,BAU,2050,0.0001865731875620161,0.00025174820537895363
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2026,0.0017536427088937435,0.0017536427088937435
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2027,0.0009200900433042128,0.0011979499524633873
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2028,0.0006430652026612438,0.000920558514500821
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2029,0.0005053996075671969,0.0007546165749545474
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2030,0.0004236983147820523,0.0006445257723368852
"EF v3.1, climate change: biogenic, global warming potential (GWP100)",RCP26,Moderate,2031,0.000368076446871261,0.0005658697095812307
